driver,elapsedTime,ECG
driver0,'0:00.000',-0.042
driver0,'0:00.001',-0.042
driver0,'0:00.001',-0.042
driver0,'0:00.002',-0.042
driver0,'0:00.002',-0.038
driver0,'0:00.003',-0.038
driver0,'0:00.003',-0.038
driver0,'0:00.004',-0.038
driver0,'0:00.004',-0.032
driver0,'0:00.005',-0.032
driver0,'0:00.005',-0.032
driver0,'0:00.006',-0.032
driver0,'0:00.006',-0.034
driver0,'0:00.007',-0.034
driver0,'0:00.007',-0.034
driver0,'0:00.008',-0.034
driver0,'0:00.008',-0.031
driver0,'0:00.009',-0.031
driver0,'0:00.009',-0.031
driver0,'0:00.010',-0.031
driver0,'0:00.010',-0.026
driver0,'0:00.011',-0.026
driver0,'0:00.011',-0.026
driver0,'0:00.012',-0.026
driver0,'0:00.012',-0.022
driver0,'0:00.013',-0.022
driver0,'0:00.013',-0.022
driver0,'0:00.014',-0.022
driver0,'0:00.014',-0.028
driver0,'0:00.015',-0.028
driver0,'0:00.015',-0.028
driver0,'0:00.016',-0.028
driver0,'0:00.016',-0.044
driver0,'0:00.017',-0.044
driver0,'0:00.017',-0.044
driver0,'0:00.018',-0.044
driver0,'0:00.018',-0.034
driver0,'0:00.019',-0.034
driver0,'0:00.019',-0.034
driver0,'0:00.020',-0.034
driver0,'0:00.020',-0.028
driver0,'0:00.021',-0.028
driver0,'0:00.021',-0.028
driver0,'0:00.022',-0.028
driver0,'0:00.022',-0.035
driver0,'0:00.023',-0.035
driver0,'0:00.023',-0.035
driver0,'0:00.024',-0.035
driver0,'0:00.024',-0.048
driver0,'0:00.025',-0.048
driver0,'0:00.025',-0.048
driver0,'0:00.026',-0.048
driver0,'0:00.026',-0.043
driver0,'0:00.027',-0.043
driver0,'0:00.027',-0.043
driver0,'0:00.028',-0.043
driver0,'0:00.028',-0.029
driver0,'0:00.029',-0.029
driver0,'0:00.029',-0.029
driver0,'0:00.030',-0.029
driver0,'0:00.030',-0.028
driver0,'0:00.031',-0.028
driver0,'0:00.031',-0.028
driver0,'0:00.032',-0.028
driver0,'0:00.032',-0.029
driver0,'0:00.033',-0.029
driver0,'0:00.033',-0.029
driver0,'0:00.034',-0.029
driver0,'0:00.034',-0.023
driver0,'0:00.035',-0.023
driver0,'0:00.035',-0.023
driver0,'0:00.036',-0.023
driver0,'0:00.036',-0.026
driver0,'0:00.037',-0.026
driver0,'0:00.037',-0.026
driver0,'0:00.038',-0.026
driver0,'0:00.038',-0.035
driver0,'0:00.039',-0.035
driver0,'0:00.039',-0.035
driver0,'0:00.040',-0.035
driver0,'0:00.040',-0.026
driver0,'0:00.041',-0.026
driver0,'0:00.041',-0.026
driver0,'0:00.042',-0.026
driver0,'0:00.042',-0.034
driver0,'0:00.043',-0.034
driver0,'0:00.043',-0.034
driver0,'0:00.044',-0.034
driver0,'0:00.044',-0.026
driver0,'0:00.045',-0.026
driver0,'0:00.045',-0.026
driver0,'0:00.046',-0.026
driver0,'0:00.046',-0.028
driver0,'0:00.047',-0.028
driver0,'0:00.047',-0.028
driver0,'0:00.048',-0.028
driver0,'0:00.048',-0.035
driver0,'0:00.049',-0.035
driver0,'0:00.049',-0.035
driver0,'0:00.050',-0.035
driver0,'0:00.050',-0.015
driver0,'0:00.051',-0.015
driver0,'0:00.051',-0.015
driver0,'0:00.052',-0.015
driver0,'0:00.052',-0.028
driver0,'0:00.053',-0.028
driver0,'0:00.053',-0.028
driver0,'0:00.054',-0.028
driver0,'0:00.054',-0.028
driver0,'0:00.055',-0.028
driver0,'0:00.055',-0.028
driver0,'0:00.056',-0.028
driver0,'0:00.056',-0.037000000000000005
driver0,'0:00.057',-0.037000000000000005
driver0,'0:00.057',-0.037000000000000005
driver0,'0:00.058',-0.037000000000000005
driver0,'0:00.058',-0.031
driver0,'0:00.059',-0.031
driver0,'0:00.059',-0.031
driver0,'0:00.060',-0.031
driver0,'0:00.060',-0.026
driver0,'0:00.061',-0.026
driver0,'0:00.061',-0.026
driver0,'0:00.062',-0.026
driver0,'0:00.063',-0.018000000000000002
driver0,'0:00.063',-0.018000000000000002
driver0,'0:00.064',-0.018000000000000002
driver0,'0:00.064',-0.018000000000000002
driver0,'0:00.065',-0.024
driver0,'0:00.065',-0.024
driver0,'0:00.066',-0.024
driver0,'0:00.066',-0.024
driver0,'0:00.067',-0.033
driver0,'0:00.067',-0.033
driver0,'0:00.068',-0.033
driver0,'0:00.068',-0.033
driver0,'0:00.069',-0.024
driver0,'0:00.069',-0.024
driver0,'0:00.070',-0.024
driver0,'0:00.070',-0.024
driver0,'0:00.071',-0.026
driver0,'0:00.071',-0.026
driver0,'0:00.072',-0.026
driver0,'0:00.072',-0.026
driver0,'0:00.073',-0.029
driver0,'0:00.073',-0.029
driver0,'0:00.074',-0.029
driver0,'0:00.074',-0.029
driver0,'0:00.075',-0.023
driver0,'0:00.075',-0.023
driver0,'0:00.076',-0.023
driver0,'0:00.076',-0.023
driver0,'0:00.077',-0.034
driver0,'0:00.077',-0.034
driver0,'0:00.078',-0.034
driver0,'0:00.078',-0.034
driver0,'0:00.079',-0.029
driver0,'0:00.079',-0.029
driver0,'0:00.080',-0.029
driver0,'0:00.080',-0.029
driver0,'0:00.081',-0.034
driver0,'0:00.081',-0.034
driver0,'0:00.082',-0.034
driver0,'0:00.082',-0.034
driver0,'0:00.083',-0.032
driver0,'0:00.083',-0.032
driver0,'0:00.084',-0.032
driver0,'0:00.084',-0.032
driver0,'0:00.085',-0.027000000000000003
driver0,'0:00.085',-0.027000000000000003
driver0,'0:00.086',-0.027000000000000003
driver0,'0:00.086',-0.027000000000000003
driver0,'0:00.087',-0.026
driver0,'0:00.087',-0.026
driver0,'0:00.088',-0.026
driver0,'0:00.088',-0.026
driver0,'0:00.089',-0.022
driver0,'0:00.089',-0.022
driver0,'0:00.090',-0.022
driver0,'0:00.090',-0.022
driver0,'0:00.091',-0.024
driver0,'0:00.091',-0.024
driver0,'0:00.092',-0.024
driver0,'0:00.092',-0.024
driver0,'0:00.093',-0.017
driver0,'0:00.093',-0.017
driver0,'0:00.094',-0.017
driver0,'0:00.094',-0.017
driver0,'0:00.095',-0.031
driver0,'0:00.095',-0.031
driver0,'0:00.096',-0.031
driver0,'0:00.096',-0.031
driver0,'0:00.097',-0.033
driver0,'0:00.097',-0.033
driver0,'0:00.098',-0.033
driver0,'0:00.098',-0.033
driver0,'0:00.099',-0.02
driver0,'0:00.099',-0.02
driver0,'0:00.100',-0.02
driver0,'0:00.100',-0.02
driver0,'0:00.101',-0.018000000000000002
driver0,'0:00.101',-0.018000000000000002
driver0,'0:00.102',-0.018000000000000002
driver0,'0:00.102',-0.018000000000000002
driver0,'0:00.103',-0.029
driver0,'0:00.103',-0.029
driver0,'0:00.104',-0.029
driver0,'0:00.104',-0.029
driver0,'0:00.105',-0.026
driver0,'0:00.105',-0.026
driver0,'0:00.106',-0.026
driver0,'0:00.106',-0.026
driver0,'0:00.107',-0.034
driver0,'0:00.107',-0.034
driver0,'0:00.108',-0.034
driver0,'0:00.108',-0.034
driver0,'0:00.109',-0.02
driver0,'0:00.109',-0.02
driver0,'0:00.110',-0.02
driver0,'0:00.110',-0.02
driver0,'0:00.111',-0.023
driver0,'0:00.111',-0.023
driver0,'0:00.112',-0.023
driver0,'0:00.112',-0.023
driver0,'0:00.113',-0.035
driver0,'0:00.113',-0.035
driver0,'0:00.114',-0.035
driver0,'0:00.114',-0.035
